?LEWI?SKI,_W?adis?aw 19244
AACHEN,_Hans_von 19245
AAGAARD,_Carl_Frederik 19246
ABADIA,_Juan_de_la 19247
ABBATE,_Niccol?_dell' 19248
ABBATI,_Giuseppe 19249
ABBATINI,_Guido_Ubaldo 19250
ABILDGAARD,_Nicolai 19251
ACHENBACH,_Oswald 19252
ADAM,_Albrecht 19253
ADEMOLLO,_Luigi 19254
ADLER,_Salomon 19255
ADRIAENSSEN,_Alexander 19256
AELST,_Willem_van 19257
AENVANCK,_Theodoor 19258
AERTSEN,_Pieter 19259
AGASSE,_Jacques-Laurent 19260
AIVAZOVSKY,_Ivan_Konstantinovich 19261
AKEN,_Joseph_van 19262
AKOTANTOS,_Angelos 19263
ALBANI,_Francesco 19264
ALBEREGNO,_Jacobello 19265
ALBERTI,_Cherubino 19266
ALBERTI,_Giovanni 19267
ALBERTINELLI,_Mariotto 19268
ALBOTTO,_Francesco 19269
ALEKSANDROVI?,_Ljubomir 19270
ALEKSEYEV,_Fyodor_Yakovlevich 19271
ALENZA_Y_NIETO,_Leonardo 19272
ALESSO_DI_BENOZZO 19273
ALINCBROT,_Louis 19274
ALLEGRAIN,_Etienne 19275
ALLORI,_Alessandro 19276
ALLORI,_Cristofano 19277
ALLSTON,_Washington 19278
ALSLOOT,_Denis_van 19279
ALT,_Rudolf_von 19280
ALTDORFER,_Albrecht 19281
ALTICHIERO_da_Zevio 19282
ALTISSIMO,_Cristofano_dell' 19283
ALTOMONTE,_Martino 19284
AMBERGER,_Christoph 19285
AMERLING,_Friedrich_von 19286
AMICO_FRIULANO_DEL_DOSSO 19287
AMIGONI,_Jacopo 19288
AMSTEL,_Jan_van 19289
ANCHER,_Anna_Kirstine 19290
ANCONA,_Vito_d' 19291
ANDERSON,_William 19292
ANDREA_DA_FIRENZE 19293
ANDREA_DA_MURANO 19294
ANDREA_DEL_CASTAGNO 19295
ANDREA_DEL_SARTO 19296
ANDREA_DI_BARTOLO 19297
ANDREA_DI_NERIO 19298
ANDREA_di_Vanni_d'Andrea 19299
ANDREESCU,_Ion 19300
ANDRIESSEN,_Jurriaan 19301
ANESI,_Paolo 19302
ANGELI,_Giuseppe 19303
ANGELICO,_Fra 19304
ANGELLIS,_Pieter 19305
ANGELUCCIO 19306
ANGERMAYER,_Johann_Adalbert 19307
ANGRAND,_Charles 19308
ANGUISSOLA,_Lucia 19309
ANGUISSOLA,_Sofonisba 19310
ANQUETIN._Louis 19311
ANSALDO,_Giovanni_Andrea 19312
ANTHONISZ,_Aert 19313
ANTHONISZ,_Cornelis 19314
ANTIGNA,_Alexandre 19315
ANTOLINEZ,_Francisco 19316
ANTOLINEZ,_José 19317
ANTONELLO_da_Messina 19318
ANTONIAZZO_ROMANO 19319
ANTONIO_DA_ATRI 19320
ANTONIO_DA_CREVALCORE 19321
ANTONIO_DA_FABRIANO 19322
ANTONIO_DA_FIRENZE 19323
ANTONIO_DA_NEGROPONTE 19324
ANTONIO_VENEZIANO 19325
ANTROPOV,_Aleksey_Petrovich 19326
APPIANI,_Andrea 19327
APSHOVEN,_Thomas_van 19328
APT,_Ulrich_the_Elder 19329
ARALDI,_Alessandro 19330
ARCANGELO_DI_JACOPO_DEL_SELLAIO 19331
ARCIMBOLDO,_Giuseppe 19332
ARELLANO,_Juan_de 19333
ARNULPHY,_Claude 19334
ARTHOIS,_Jacques_d' 19335
ARTIOLI,_Giuseppe 19336
ASAM,_Cosmas_Damian 19337
ASCH,_Pieter_Jansz._van 19338
ASHFORD,_William 19339
ASPERTINI,_Amico 19340
ASSCHE,_Henri_van 19341
ASSELYN,_Jan 19342
ASSERETO,_Gioachino 19343
ASSTEYN,_Bartholomeus 19344
AST,_Balthasar_van_der 19345
ASTRUC,_Zacharie 19346
ATTAVANTE_DEGLI_ATTAVANTI 19347
AUGUSTIN,_Jean-Baptiste-Jacques 19348
AVANZI,_Jacopo 19349
AVED,_Jacques-André-Joseph 19350
AVERCAMP,_Barend 19351
AVERCAMP,_Hendrick 19352
AYALA,_Josefa_de 19353
AZEGLIO,_Massimo_Taparelli,_Marquis_d' 19354
BABUREN,_Dirck_van 19355
BACCHIACCA 19356
BACICCIO 19357
BACKER,_Jacob_Adriaensz. 19358
BACKER,_Jacob_de 19359
BACKHUYSEN,_Ludolf 19360
BADALOCCHIO,_Sisto 19361
BAEGERT,_Derick 19362
BAELLIEUR,_Cornelis_de 19363
BAEN,_Jan_de 19364
BAERS,_Johannes 19365
BAERTSOEN,_Albert 19366
BAGLIONE,_Cesare 19367
BAGLIONE,_Giovanni 19368
BAILLY,_David 19369
BALASSI,_Mario 19370
BALDASSARE_D'_ESTE 19371
BALDI,_Lazzaro 19372
BALDOVINETTI,_Alessio 19373
BALDRIGHI,_Giuseppe 19374
BALDUCCI,_Giovanni 19375
BALDUCCI,_Matteo 19376
BALDUNG_GRIEN,_Hans 19377
BALEN,_Hendrick_van 19378
BALESTRA,_Antonio 19379
BALTENS,_Peeter 19380
BAMBINI,_Nicol? 19381
BANDINELLI,_Baccio 19382
BANTI,_Cristiano 19383
BARABÁS,_Miklós 19384
BARBARI,_Jacopo_de' 19385
BARBAULT,_Jean 19386
BARBIERI,_Paolo_Antonio 19387
BARDELLINO,_Pietro 19388
BARENDSZ.,_Dirck 19389
BARKER,_Thomas_Jones 19390
BARNA_DA_SIENA 19391
BARNABA_DA_MODENA 19392
BAROCCI,_Federico_Fiori 19393
BARONZIO,_Giovanni 19394
BARRA,_Didier 19395
BARRERA,_Francisco 19396
BARRET,_George 19397
BARTOLINI,_Lorenzo 19398
BARTOLO_DI_FREDI 19399
BARTOLOMEO_DELLA_GATTA 19400
BARTOLOMEO_DI_FRUOSINO 19401
BARTOLOMEO_DI_GIOVANNI 19402
BARTOLOMEO_VENETO 19403
BARTOLOMEO,_Fra 19404
BARTSIUS,_Willem 19405
BARYE,_Antoine-Louis 19406
BASAITI,_Marco 19407
BASCHENIS,_Evaristo 19408
BASSA,_Ferrer 19409
BASSANO,_Francesco 19410
BASSANO,_Jacopo 19411
BASSANO,_Leandro 19412
BASSEN,_Bartholomeus_van 19413
BASSETTI,_Marcantonio 19414
BASTIANI,_Lazzaro 19415
BASTIEN-LEPAGE,_Jules 19416
BATONI,_Pompeo 19417
BATTEM,_Gerrit_van 19418
BAUGIN,_Lubin 19419
BAUM,_Paul 19420
BAYEU_Y_SUBIAS,_Francisco 19421
BAYEU_Y_SUBIAS,_Ramón 19422
BAZILLE,_Jean-Frédéric 19423
BAZZANI,_Giuseppe 19424
BEACH,_Thomas 19425
BEALE,_Mary 19426
BEAUBRUN,_Charles 19427
BEAUFORT,_Jacques-Antoine 19428
BEAUMONT,_Claudio_Francesco 19429
BEAUX,_Cecilia 19430
BECCAFUMI,_Domenico 19431
BECCARUZZI,_Francesco 19432
BEECHEY,_Sir_William 19433
BEECKMAN,_Andries 19434
BEER,_Jan_de 19435
BEERSTRATEN,_Anthonie 19436
BEERSTRATEN,_Jan_Abrahamsz. 19437
BEERT,_Osias_the_Elder 19438
BEERT,_Osias_the_Younger 19439
BEGA,_Cornelis 19440
BEGAS,_Carl_the_Elder 19441
BEGEYN,_Abraham_Jansz. 19442
BEHAM,_Barthel 19443
BEHAM,_Hans_Sebald 19444
BEINASCHI,_Giovan_Battista 19445
BELIN_DE_FONTENAY,_Jean-Baptiste 19446
BELLA,_Stefano_della 19447
BELLANGE,_Jacques 19448
BELLANGÉ,_Hippolyte 19449
BELLE,_Alexis-Simon 19450
BELLE,_Clément-Louis-Marie-Anne 19451
BELLECHOSE,_Henri 19452
BELLEGAMBE,_Jean 19453
BELLEVOIS,_Jacob_Adriaensz. 19454
BELLINI,_Gentile 19455
BELLINI,_Giovanni 19456
BELLINI,_Jacopo 19457
BELLIS,_Antonio_de 19458
BELLO,_Marco 19459
BELLOTTI,_Pietro 19460
BELLOTTO,_Bernardo 19461
BELLUCCI,_Antonio 19462
BEMBO,_Benedetto 19463
BEMBO,_Bonifazio 19464
BEMBO,_Giovan_Francesco 19465
BENAGLIO,_Francesco 19466
BENCZÚR,_Gyula 19467
BENDZ,_Wilhelm 19468
BENEDETTI,_Andries 19469
BENEFIAL,_Marco 19470
BENOIST,_Marie-Guillemine 19471
BENOUVILLE,_François-Léon 19472
BENOUVILLE,_Jean-Achille 19473
BENSON,_Ambrosius 19474
BENSON,_Frank_Weston 19475
BENSON,_Willem 19476
BENVENUTI,_Pietro 19477
BENVENUTO_DI_GIOVANNI 19478
BERCHEM,_Nicolaes 19479
BERCKHEYDE,_Gerrit_Adriaensz. 19480
BERCKHEYDE,_Job_Adriaensz 19481
BERENTZ,_Christian 19482
BERGAMASCO,_Il 19483
BERGEN,_Dirk_van 19484
BERGERET,_Pierre-Nolasque 19485
BERGH,_Gillis_Gillisz._de 19486
BERGHE,_Augustin_van_den 19487
BERGHE,_Charles-Auguste_van_den 19488
BERGHE,_Christoffel_van_den 19489
BERGOGNONE,_Ambrogio 19490
BERGOIJS,_Claes 19491
BERJON,_Antoine 19492
BERLINGHIERI,_Bonaventura 19493
BERMEJO,_Bartolomé 19494
BERNARD_D'AGESCI 19495
BERNARD,_Joseph 19496
BERNARD,_Émile 19497
BERNARDINO_DI_MARIOTTO_DELLO_STAGNO 19498
BERNINI,_Gian_Lorenzo 19499
BERRUGUETE,_Alonso 19500
BERRUGUETE,_Pedro 19501
BERTHÉLEMY,_Jean-Simon 19502
BERTIN,_Jean-Victor 19503
BERUETE,_Aureliano 19504
BESCHEY,_Balthasar 19505
BESNARD,_Albert 19506
BETTERA,_Bartolomeo 19507
BETTI,_Niccol? 19508
BEUCKELAER,_Joachim 19509
BEVILACQUA,_Giovanni_Carlo 19510
BEYEREN,_Abraham_van 19511
BEZZUOLI,_Giuseppe 19512
BIAGIO_D'ANTONIO 19513
BIANCHI,_Mos? 19514
BICCI_DI_LORENZO 19515
BICCI_DI_NERI 19516
BICCI,_Lorenzo_di 19517
BIDAULD,_Jean-Joseph-Xavier 19518
BIGOT,_Trophîme 19519
BIJLERT,_Jan_van 19520
BILIVERT,_Giovanni 19521
BILTIUS,_Cornelis 19522
BIMBI,_Bartolomeo 19523
BINGHAM,_George_Caleb 19524
BINOIT,_Peter 19525
BIRGER,_Hugo 19526
BISCAINO,_Bartolomeo 19527
BISON,_Giuseppe_Bernardino 19528
BISSCHOP,_Abraham 19529
BISSCHOP,_Cornelis 19530
BLAKE,_William 19531
BLANCHARD,_Jacques 19532
BLANCHET,_Louis-Gabriel 19533
BLECHEN,_Karl 19534
BLEKER,_Dirck_Gerritsz 19535
BLEKER,_Gerrit_Claesz 19536
BLES,_Herri_met_de 19537
BLIECK,_Daniel_de 19538
BLOCH,_Carl_Heinrich 19539
BLOCK,_Benjamin 19540
BLOCKLANDT_VAN_MONTFOORT,_Anthonie 19541
BLOEMAERT,_Abraham 19542
BLOEMAERT,_Hendrick 19543
BLOEMEN,_Jan_Frans_van 19544
BLOEMEN,_Pieter_van 19545
BLOMMENDAEL,_Reyer_van 19546
BLONDEEL,_Lanceloot 19547
BLONDEL,_Merry-Joseph 19548
BLOOT,_Pieter_de 19549
BOCANEGRA,_Pedro_Anastasio 19550
BOCCACCINO,_Boccaccio 19551
BOCCACCINO,_Camillo 19552
BOCCATI,_Giovanni_di_Piermatteo 19553
BOCKSBERGER,_Hans_the_Elder 19554
BOECKHORST,_Jan_van 19555
BOEL,_Pieter 19556
BOELEMA_DE_STOMME,_Maerten 19557
BOGAERT,_Hendrick 19558
BOGDÁNY,_Jakab 19559
BOGUET,_Nicolas-Didier 19560
BOILLY,_Louis_Léopold 19561
BOL,_Ferdinand 19562
BOL,_Hans 19563
BOLDINI,_Giovanni 19564
